region	income	employment	unemployment	rooms	education	life_exp	mortality	pollution	homicide	vote	broadband
Hokkaido	16059,1	75,2	5	1,9	76,5	82,6	6,2	8,7	0,8	58,7	58,5
Tohoku	15421,3	79,6	4,7	1,9	74,6	82,3	6,9	10,9	0,6	58,9	59
Northern-KantoKoshin	16858,1	81,4	3,9	1,8	79,1	82,8	6,2	14,2	0,8	58,5	66
Southern-Kanto	19524,5	78,1	4,3	1,7	87,2	83	6,1	17,9	0,8	60,6	86
Hokuriku	16842,7	83,3	3,6	2,3	75,4	83,2	6	14,5	0,5	60,1	67
Toukai	17862,8	81,2	3,5	1,9	78,7	82,9	6,2	13,9	0,7	60,4	72
Kansairegion	16673,7	75,2	4,8	2,2	83	82,7	6,2	12,7	1,2	59,1	78,5
Chugoku	16416,5	80,1	3,7	2,3	82	83,1	6	11,5	0,8	58,4	63,5
Shikoku	14956,8	79,4	4,2	2	76,8	82,8	6,2	12,6	1	58	57
KyushuOkinawa	15123,6	77	4,9	1,9	78,9	82,9	6,1	14,2	0,8	58,1	58
