region	income	employment	unemployment	rooms	education	life_exp	mortality	pollution	homicide	vote	broadband
Aguascalientes	71,555	61,5	5,6	1,1	42,4	75,3	9,8	9,1	5,8	42,5	31
Campeche	7148,6	66,2	2,9	0,8	40,1	74,8	9,4	4,2	7,3	62,3	23
Coahuila	7479,1	64,7	5,9	1,1	44,5	73,9	11	8,4	27,3	44,5	26,3
Colima	7878,6	71,3	4,5	1	41,7	73,8	10,1	9,4	26,6	60,1	32,8
Chiapas	3766,7	61,8	2,4	0,7	26,9	73	10,2	6,9	10,1	39,5	10,3
Chihuahua	7220,8	59,4	6,3	1,1	38,1	71,6	13	6,2	108,2	32,5	28,8
FederalDistrictMX	94,095	66	6,3	1,2	57,6	75,6	10,7	15,1	10,1	41,3	42,3
Durango	5179	60,4	6,3	1	37,1	74,1	10,1	8,1	60,4	42	20,9
Guanajuato	6261,9	63,6	5,9	0,9	30,6	74,8	9,7	16,1	10	47,8	19
Guerrero	3954,9	66	2,1	0,7	33,1	72,1	9	11	63,5	32,5	12,7
Hidalgo	5015,2	61,5	4,8	1	33,9	73,8	9,1	13,7	6,4	43,2	14
Jalisco	7002,5	66,8	4,9	1	39,9	74,9	10,4	12,2	17,6	51,8	28,8
Mexico	6983,7	61,9	6,2	1	41,6	74,6	9,7	15,7	14	51,4	23,8
Michoacan	5406,5	65,2	3,4	0,9	29,8	74	9,4	13,9	18	33,3	14,9
Morelos	6160	64,4	3,5	1	40,7	74,8	9,8	26,2	30,3	49,4	28,2
Nayarit	5816,9	67,5	5,1	1	40	74	9,4	6,1	42,1	42,4	24,3
NuevoLeon	9813,4	65,8	6	1,1	48,4	75,3	10,2	9,4	33,4	53,6	38,1
Oaxaca	4446,2	65,6	2,6	0,8	27,9	72,1	9,4	8,8	12,8	41,4	9,7
Puebla	4572,3	65,2	4,5	0,9	33,7	74,2	10,7	13,7	7,4	38,1	18,8
Queretaro	7603,5	58	5,4	1	41	74,8	10,1	16,3	5	58,9	28,5
QuintanaRoo	7036,4	71	4,4	0,8	43,5	75,1	10,5	3,7	11,1	36,7	34,5
SanLuisPotosi	5514,2	62,5	3,6	1	37	73,9	9,5	10,4	14,9	54,9	21,7
Sinaloa	6822,2	65	4,8	1	47,5	74	10,2	7,5	63,5	41,2	28,7
Sonora	8255,5	65,1	5,5	1	45,5	74,6	11,7	6,1	21	50,6	37,3
Tabasco	5719,8	58,3	6,4	0,9	40,5	74,1	10,9	8,2	10,8	40,8	19,7
Tamaulipas	6996,3	63,5	6,9	1	43,9	74,8	10,6	6,6	36,2	41,3	31,7
Tlaxcala	4988,3	62,2	6,1	0,9	37	74,5	9,5	11,7	5,9	36,5	13,7
Veracruz	5306,3	60,8	3,5	0,9	35	73,4	10,7	11,3	11,5	47,6	19
Yucatan	6365,3	71,1	2,7	0,9	38	75	11	3,4	2,2	56,2	23,4
Zacatecas	5147,4	60,5	5,4	1	30,4	74,4	9,8	7,2	19,6	44,6	17,1
